activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],艺人：毛不易、赵雷、蒲熠星、八三夭、黄子弘凡、黄誉博、夏日入侵企画、deca joins、郑润泽、康士坦的变化球、橘子海、郭冠廷、胡宇桐、霓虹花园、郑人予,0,1,演唱会,1052,无锡,[],艺人：毛不易、赵雷、蒲熠星、八三夭、黄子弘凡、黄誉博、夏日入侵企画、deca joins、郑润泽、康士坦的变化球、橘子海、郭冠廷、胡宇桐、霓虹花园、郑人予,1_1_794250306538,-647431527,False,0,1,0,0,爱玛追星·银河左岸·无锡太湖音乐节,爱玛追星·银河左岸·无锡太湖音乐节,199.0,199-498,498.0,[],794250306538,[],售票中,,2024.05.18-05.19,3,12,音乐节,,无锡-融创乐园旁边大草坪,无锡,6473054,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN017k6qY32GdSbAmHJ6C_!!2251059038.jpg
[],艺人：痛仰乐队、二手玫瑰、凤凰传奇、林宥嘉、陈绮贞、陈楚生、郭顶、梅卡德尔、文雀乐队、周柏豪、声音碎片、depapepe、DOUDOU、房东的猫、Mola Oddity莫拉怪乐、曹方、达闻西、广场恐惧症、PeaceHotel和平饭店乐队、Click#15、APEX(LEGGO&Kyra Zilver&4D）、疯医乐队、污甩Dirt Left、jam阿敬,0,1,演唱会,702,长沙,[],艺人：痛仰乐队、二手玫瑰、凤凰传奇、林宥嘉、陈绮贞、陈楚生、郭顶、梅卡德尔、文雀乐队、周柏豪、声音碎片、depapepe、DOUDOU、房东的猫、Mola Oddity莫拉怪乐、曹方、达闻西、广场恐惧症、PeaceHotel和平饭店乐队、Click#15、APEX(LEGGO&Kyra Zilver&4D）、疯医乐队、污甩Dirt Left、jam阿敬,1_1_787238251934,-717552073,False,0,1,0,0,2024长沙草莓音乐节,2024长沙草莓音乐节,328.0,328-878,878.0,[],787238251934,[],售票中,,2024.06.14-06.16,3,12,音乐节,,长沙国际会展中心 西广场,长沙,2148014,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01ueknFT2GdSatBDEir_!!2251059038.jpg
[],艺人：毛不易、艾热、TANK吕建忠、威尔Will.T、霓虹花园、石岩、布瑞吉、vava、派克特,0,1,演唱会,2017,东营,[],艺人：毛不易、艾热、TANK吕建忠、威尔Will.T、霓虹花园、石岩、布瑞吉、vava、派克特,1_1_793106276209,-658871830,False,0,1,0,0,2024东营文汇河海音乐节,2024东营文汇河海音乐节,93.0,93-493,493.0,[],793106276209,[],售票中,,2024.06.22-06.23,3,12,音乐节,,东营揽翠湖旅游度假区,东营,2785008,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN019uxnDD2GdSb5TtaDE_!!2251059038.png
[],艺人：痛仰乐队、二手玫瑰、房东的猫、许巍、老狼、棱镜乐队、万能青年旅店、银河快递、野肆乐队、简单对话、The Messy梅西合唱团、郭顶,0,1,演唱会,3014,长治,[],艺人：痛仰乐队、二手玫瑰、房东的猫、许巍、老狼、棱镜乐队、万能青年旅店、银河快递、野肆乐队、简单对话、The Messy梅西合唱团、郭顶,1_1_789691550926,-693019083,False,0,1,0,0,《2024欢乐太行谷音乐节》,《2024欢乐太行谷音乐节》,239.0,239-588,588.0,[],789691550926,[],售票中,,2024.07.13-07.14,3,12,音乐节,,欢乐太行谷,长治,3179010,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01pzpSdq2GdSaxgSdrs_!!2251059038.jpg
[],艺人：赵雷、郑润泽、宝石GEM、黄誉博、王贰浪、队长YoungCaptain、vava、威尔Will.T、KEY.L刘聪、艾志恒Asen、沉舟乐队、何屹繁、回春丹乐队、罗言、张毅成Subs,0,1,演唱会,2536,蚌埠,[],艺人：赵雷、郑润泽、宝石GEM、黄誉博、王贰浪、队长YoungCaptain、vava、威尔Will.T、KEY.L刘聪、艾志恒Asen、沉舟乐队、何屹繁、回春丹乐队、罗言、张毅成Subs,1_1_789343792733,-696496665,False,0,1,0,0,蚌埠涂山音乐嘉年华,蚌埠涂山音乐嘉年华,99.0,99-369,369.0,[],789343792733,[],售票中,,2024.05.18-05.19,3,12,音乐节,,蚌埠市体育中心体育场,蚌埠,1652003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01cVD2DG2GdSayBiCQf_!!2251059038.png
[],艺人：Westlife,0,1,演唱会,872,上海,[],艺人：Westlife,1_1_789881368795,-691120905,False,0,1,0,0,2024 Westlife西城男孩《With Love - 与爱同行》特献巡回演唱会-上海站,2024 Westlife西城男孩《With Love - 与爱同行》特献巡回演唱会-上海站,599.0,599-1399,1399.0,[],789881368795,[],售票中,,2024.05.28-05.29,3,13,其他,,梅赛德斯-奔驰文化中心,上海,1589,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01wjM35F2GdSauHuXGu_!!2251059038.jpg
[],艺人：草东没有派对、陈楚生、二手玫瑰、逃跑计划、回春丹乐队、麻园诗人、房东的猫、霓虹花园、海来阿木、赵照、石岩、陈硕子、沉舟乐队、野外合作社,0,1,演唱会,1975,德州,[],艺人：草东没有派对、陈楚生、二手玫瑰、逃跑计划、回春丹乐队、麻园诗人、房东的猫、霓虹花园、海来阿木、赵照、石岩、陈硕子、沉舟乐队、野外合作社,1_1_788419082441,-705743768,False,0,1,0,0,2024德州天衢新区·新青年音乐节,2024德州天衢新区·新青年音乐节,61.0,61-661,661.0,[],788419082441,[],售票中,,2024.06.01-06.02,3,12,音乐节,,德州市德百奥莱广场,德州,6752012,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01CMYjxm2GdSatJaIWU_!!2251059038.jpg
[],艺人：白景屹、超级市场、丢火车乐队、Gali、回春丹乐队、JONY J、橘子海、林宥嘉、罗言、吕彦良、PeaceHotel和平饭店乐队、痛仰乐队、五条人、艾斯卡尔、艾志恒Asen、草东没有派对、达达乐队、KEY.L刘聪、旅行者乐队、马頔、瓦依那、赵雷、二手玫瑰、郭顶、黄旭、焦迈奇、Kafe.Hu、连麻Swimming、马思唯、腾格尔、希林娜依·高、张蔷,0,1,演唱会,81,乌鲁木齐,[],艺人：白景屹、超级市场、丢火车乐队、Gali、回春丹乐队、JONY J、橘子海、林宥嘉、罗言、吕彦良、PeaceHotel和平饭店乐队、痛仰乐队、五条人、艾斯卡尔、艾志恒Asen、草东没有派对、达达乐队、KEY.L刘聪、旅行者乐队、马頔、瓦依那、赵雷、二手玫瑰、郭顶、黄旭、焦迈奇、Kafe.Hu、连麻Swimming、马思唯、腾格尔、希林娜依·高、张蔷,1_1_787180631207,-718128280,False,0,1,0,0,2024新疆超级草莓音乐节,2024新疆超级草莓音乐节,298.0,298-958,958.0,[],787180631207,[],售票中,,2024.05.24-05.26,3,48,livehouse,,水磨沟区八道湾产业园天山明月城P3停车场,乌鲁木齐,6709010,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN0197igkc2GdSb1J5d8O_!!2251059038.jpg
[],艺人：颜人中、陆虎、傻子与白痴、张星特、吴垚滔、黄誉博、七乐团、JD华明杰、分手俱乐部、郑钧、后海大鲨鱼、岛屿心情、Fine乐团、犬儒、海底时光机、Quark夸克乐队,0,1,演唱会,1597,宁波,[],艺人：颜人中、陆虎、傻子与白痴、张星特、吴垚滔、黄誉博、七乐团、JD华明杰、分手俱乐部、郑钧、后海大鲨鱼、岛屿心情、Fine乐团、犬儒、海底时光机、Quark夸克乐队,1_1_788630309520,-703631497,False,0,1,0,0,2024慈溪城市森林音乐节,2024慈溪城市森林音乐节,158.0,158-456,456.0,[],788630309520,[],售票中,,2024.05.25-05.26,3,12,音乐节,,慈溪森林公园 (南门),宁波,2790008,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01iBnR7r2GdSb2XAPP3_!!2251059038.jpg
[],艺人：袁娅维、孙盛希、鹤 The Crane、宝石GEM、Ice Paper、She Her Her Hers、小精灵、Cool-Aid 陈轶伦、灵魂沙发、icyball冰球乐团,0,1,演唱会,1847,青岛,[],艺人：袁娅维、孙盛希、鹤 The Crane、宝石GEM、Ice Paper、She Her Her Hers、小精灵、Cool-Aid 陈轶伦、灵魂沙发、icyball冰球乐团,1_1_789877985120,-691154741,False,0,1,0,0,2024 青岛艾可什机场音乐节,2024 青岛艾可什机场音乐节,198.0,198-888,888.0,[],789877985120,[],售票中,,2024.06.15-06.16,3,12,音乐节,,流亭国际机场停机坪,青岛,6390003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01UubYsQ2GdSb0AorYn_!!2251059038.jpg
[],艺人：杨丞琳,0,1,演唱会,917,东莞,[],艺人：杨丞琳,1_1_788134932524,-708585267,False,0,1,0,0,杨丞琳“LIKE A STAR”巡回演唱会-东莞站,杨丞琳“LIKE A STAR”巡回演唱会-东莞站,380.0,380-1380,1380.0,[],788134932524,[],售票中,,2024.06.08 周六 19:30,3,13,其他,,东莞银行篮球中心(原东莞篮球中心),东莞,55360,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01qX44UH2GdSb7cEnon_!!0-item_pic.jpg
[],艺人：刺猬乐队、老狼、回春丹乐队、康姆士COM'Z、海龟先生、梅卡德尔、丢火车乐队、花墙乐队、柳爽、MOTORAMA、木马乐队、声无哀乐、声音碎片、时间不够以后、新学校废物合唱团、野外合作社、张震岳、万能青年旅店,0,1,演唱会,1158,泰州,[],艺人：刺猬乐队、老狼、回春丹乐队、康姆士COM'Z、海龟先生、梅卡德尔、丢火车乐队、花墙乐队、柳爽、MOTORAMA、木马乐队、声无哀乐、声音碎片、时间不够以后、新学校废物合唱团、野外合作社、张震岳、万能青年旅店,1_1_786860668054,-721327912,False,0,1,0,0,爱玛追星·2024泰州芒禾音乐节,爱玛追星·2024泰州芒禾音乐节,159.0,159-748,748.0,[],786860668054,[],售票中,,2024.05.25-05.26,3,12,音乐节,,江苏省泰州市高港区凤栖湖景区,泰州,6671044,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01Bn4Vfb2GdSb5lFrg1_!!2251059038.jpg
[],艺人：老狼、郑智化、麻园诗人、声音玩具、房东的猫、木马乐队、赵照、犬儒、左小祖咒、沉舟乐队、PeaceHotel和平饭店乐队、A公馆乐队、声音碎片、孤独的利里、疯医乐队、海朋森、法兹乐队、梅卡德尔、美好药店、胡德夫,0,1,演唱会,2520,合肥,[],艺人：老狼、郑智化、麻园诗人、声音玩具、房东的猫、木马乐队、赵照、犬儒、左小祖咒、沉舟乐队、PeaceHotel和平饭店乐队、A公馆乐队、声音碎片、孤独的利里、疯医乐队、海朋森、法兹乐队、梅卡德尔、美好药店、胡德夫,1_1_787614279130,-713791801,False,0,1,0,0,爱玛追星·河流音乐节,爱玛追星·河流音乐节,52.0,52-399,399.0,[],787614279130,[],售票中,,2024.05.25-05.26,3,12,音乐节,,合肥祥源花世界,合肥,1581017,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01cxuo2i2GdSb6JW65X_!!2251059038.jpg
[],艺人：小沈阳,0,1,演唱会,2667,大庆,[],艺人：小沈阳,1_1_789342516752,-696509425,False,0,1,0,0,小沈阳2024《我不！是歌手》巡回演唱会--大庆站,小沈阳2024《我不！是歌手》巡回演唱会--大庆站,280.0,280-880,880.0,[],789342516752,[],售票中,,2024.06.29 周六 19:00,3,13,其他,,大庆市体育场,大庆,54017,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN012ukowN2GdSb76yukk_!!0-item_pic.jpg
